date,state,region_code,region_name,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_isolation,total_positives,new_positives,intensive_care_admissions,discharged_recovered,deceased,total_cases,daily_discharged_recovered,daily_deceased,daily_total_cases,hospitalized_with_symptoms_normalized_per_region_name,intensive_care_normalized_per_region_name,total_hospitalized_normalized_per_region_name,home_isolation_normalized_per_region_name,total_positives_normalized_per_region_name,new_positives_normalized_per_region_name,intensive_care_admissions_normalized_per_region_name,daily_discharged_recovered_normalized_per_region_name,daily_deceased_normalized_per_region_name,daily_total_cases_normalized_per_region_name
2020-02-25 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0.0,3,1,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1,0,1,2,3,3,0.0,2,2,3,0,0,0,0.0006234413965087282,0.0,0.0005414185165132648,7.210455159981974e-06,1.0760478913048157e-05,0.0003503608716978488,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,0.0,1,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00756499620098444,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0038994800693240897,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.010396361273554255,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,1,0,1,0,1,1,0.0,4,1,1,0,0,0,0.0007132667617689016,0.0,0.0006622516556291391,0.0,2.072152344640378e-05,0.0019388194743644978,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,79,25,104,127,231,68,0.0,40,9,240,0,3,68,0.005388377683826578,0.018102824040550324,0.0066851949222564416,9.747996873678145e-05,0.00011243904506383947,0.0012904939935095743,0.0,0.0,0.005494505494505494,0.0012904939935095743
2020-02-25 18:00:00,ITA,11,Marche,43.61675973,13.5188753,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.000384172109104879,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,12,7,19,23,42,10,0.0,7,1,43,0,0,10,0.0,0.01881720430107527,0.000981033355134075,2.437546574550621e-05,3.462759750265767e-05,0.00039736151951045066,0.0,0.0,0.0,0.00020458265139116204
2020-02-25 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0.0,1,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0014641288433382138,0.0,0.0,0.0,0.0
